Force,Distance,Time,Event,
N,mm,min,,
Sample 1,,,,
0.1589,0.0100,1.01150,0,
0.1589,0.0100,1.01167,0,
-0.1589,0.0075,1.01183,0,
-0.4767,0.0075,1.01200,0,
-0.6356,0.0050,1.01217,0,
-0.6356,0.0050,1.01233,0,
-0.4767,0.0075,1.01250,0,
-0.4767,0.0075,1.01267,0,
-0.4767,0.0075,1.01283,0,
-0.4767,0.0075,1.01300,0,
-0.4767,0.0075,1.01317,0,
-0.4767,0.0075,1.01333,0,
-0.4767,0.0075,1.01350,0,
-0.4767,0.0075,1.01367,0,
-0.4767,0.0075,1.01383,0,
-0.4767,0.0075,1.01400,0,
-0.4767,0.0075,1.01417,0,
-0.4767,0.0075,1.01433,0,
-0.4767,0.0075,1.01450,0,
-0.4767,0.0075,1.01467,0,
-0.4767,0.0075,1.01483,0,
-0.3178,0.0075,1.01500,0,
-0.4767,0.0075,1.01517,0,
-0.3178,0.0075,1.01533,0,
-0.3178,0.0075,1.01550,0,
-0.3178,0.0075,1.01567,0,
-0.3178,0.0075,1.01583,0,
-0.3178,0.0075,1.01600,0,
-0.3178,0.0075,1.01617,0,
-0.3178,0.0075,1.01633,0,
-0.3178,0.0075,1.01650,0,
-0.3178,0.0075,1.01667,0,
-0.3178,0.0075,1.01683,0,
-0.3178,0.0075,1.01700,0,
-0.3178,0.0075,1.01717,0,
-0.3178,0.0075,1.01733,0,
-0.3178,0.0075,1.01750,0,
-0.3178,0.0075,1.01767,0,
-0.3178,0.0075,1.01783,0,
-0.3178,0.0075,1.01800,0,
-0.3178,0.0075,1.01817,0,
-0.3178,0.0075,1.01833,0,
-0.3178,0.0075,1.01850,0,
-0.3178,0.0075,1.01867,0,
-0.3178,0.0075,1.01883,0,
-0.3178,0.0075,1.01900,0,
-0.3178,0.0075,1.01917,0,
-0.3178,0.0075,1.01933,0,
-0.3178,0.0075,1.01950,0,
-0.1589,0.0075,1.01967,0,
-0.3178,0.0075,1.01983,0,
-0.1589,0.0075,1.02000,0,
-0.1589,0.0075,1.02017,0,
-0.1589,0.0075,1.02033,0,
-0.1589,0.0075,1.02050,0,
-0.1589,0.0075,1.02067,0,
-0.1589,0.0075,1.02083,0,
-0.1589,0.0075,1.02100,0,
-0.1589,0.0075,1.02117,0,
-0.1589,0.0075,1.02133,0,
-0.1589,0.0075,1.02150,0,
-0.1589,0.0075,1.02167,0,
-0.1589,0.0075,1.02183,0,
-0.1589,0.0075,1.02200,0,
-0.1589,0.0075,1.02217,0,
-0.1589,0.0075,1.02233,0,
-0.1589,0.0075,1.02250,0,
-0.1589,0.0075,1.02267,0,
-0.1589,0.0075,1.02283,0,
-0.1589,0.0075,1.02300,0,
-0.1589,0.0075,1.02317,0,
-0.1589,0.0075,1.02333,0,
-0.1589,0.0075,1.02350,0,
-0.1589,0.0075,1.02367,0,
-0.1589,0.0075,1.02383,0,
-0.1589,0.0075,1.02400,0,
-0.1589,0.0075,1.02417,0,
-0.1589,0.0075,1.02433,0,
-0.1589,0.0075,1.02450,0,
-0.1589,0.0075,1.02467,0,
-0.1589,0.0075,1.02483,0,
-0.0000,0.0075,1.02500,0,
-0.1589,0.0075,1.02517,0,
-0.1589,0.0075,1.02533,0,
-0.0000,0.0075,1.02550,0,
-0.0000,0.0075,1.02567,0,
-0.1589,0.0075,1.02583,0,
-0.0000,0.0075,1.02600,0,
-0.0000,0.0075,1.02617,0,
-0.0000,0.0075,1.02633,0,
-0.0000,0.0075,1.02650,0,
-0.0000,0.0075,1.02667,0,
-0.0000,0.0075,1.02683,0,
-0.0000,0.0075,1.02700,0,
-0.0000,0.0075,1.02717,0,
-0.0000,0.0075,1.02733,0,
-0.0000,0.0075,1.02750,0,
-0.0000,0.0075,1.02767,0,
-0.0000,0.0075,1.02783,0,
-0.0000,0.0075,1.02800,0,
-0.0000,0.0075,1.02817,0,
-0.0000,0.0075,1.02833,0,
-0.0000,0.0075,1.02850,0,
-0.0000,0.0075,1.02867,0,
-0.0000,0.0075,1.02883,0,
-0.0000,0.0075,1.02900,0,
-0.0000,0.0075,1.02917,0,
-0.0000,0.0075,1.02933,0,
-0.0000,0.0075,1.02950,0,
-0.0000,0.0075,1.02967,0,
-0.0000,0.0075,1.02983,0,
-0.0000,0.0075,1.03000,0,
-0.0000,0.0075,1.03017,0,
-0.0000,0.0075,1.03033,0,
-0.0000,0.0075,1.03050,0,
-0.0000,0.0075,1.03067,0,
0.1589,0.0075,1.03083,0,
-0.0000,0.0075,1.03100,0,
0.1589,0.0075,1.03117,0,
-0.0000,0.0075,1.03133,0,
-0.0000,0.0075,1.03150,0,
0.1589,0.0075,1.03167,0,
-0.0000,0.0075,1.03183,0,
-0.0000,0.0075,1.03200,0,
-0.0000,0.0075,1.03217,0,
0.1589,0.0075,1.03233,0,
0.1589,0.0075,1.03250,0,
0.1589,0.0075,1.03267,0,
-0.0000,0.0075,1.03283,0,
-0.3178,0.0050,1.03300,0,
-0.6356,0.0050,1.03317,0,
-0.6356,0.0050,1.03333,0,
-0.4767,0.0050,1.03350,0,
-0.4767,0.0050,1.03367,0,
-0.6356,0.0050,1.03383,0,
-0.6356,0.0050,1.03400,0,
-0.6356,0.0050,1.03417,0,
-0.6356,0.0050,1.03433,0,
-0.4767,0.0050,1.03450,0,
-0.6356,0.0050,1.03467,0,
-0.6356,0.0050,1.03483,0,
-0.6356,0.0050,1.03500,0,
-0.4767,0.0050,1.03517,0,
-0.6356,0.0050,1.03533,0,
-0.4767,0.0050,1.03550,0,
-0.6356,0.0050,1.03567,0,
-0.6356,0.0050,1.03583,0,
-0.6356,0.0050,1.03600,0,
-0.6356,0.0050,1.03617,0,
-0.6356,0.0050,1.03633,0,
-0.4767,0.0050,1.03650,0,
-0.4767,0.0050,1.03667,0,
-0.6356,0.0050,1.03683,0,
-0.6356,0.0050,1.03700,0,
-0.6356,0.0050,1.03717,0,
-0.6356,0.0050,1.03733,0,
-0.6356,0.0050,1.03750,0,
-0.6356,0.0050,1.03767,0,
-0.6356,0.0050,1.03783,0,
-0.4767,0.0050,1.03800,0,
-0.6356,0.0050,1.03817,0,
-0.6356,0.0050,1.03833,0,
-0.6356,0.0050,1.03850,0,
-0.6356,0.0050,1.03867,0,
-0.6356,0.0050,1.03883,0,
-0.6356,0.0050,1.03900,0,
-0.6356,0.0050,1.03917,0,
-0.4767,0.0050,1.03933,0,
-0.4767,0.0050,1.03950,0,
-0.6356,0.0050,1.03967,0,
-0.6356,0.0050,1.03983,0,
-0.6356,0.0050,1.04000,0,
-0.4767,0.0050,1.04017,0,
-0.6356,0.0050,1.04033,0,
-0.6356,0.0050,1.04050,0,
-0.6356,0.0050,1.04067,0,
-0.6356,0.0050,1.04083,0,
-0.6356,0.0050,1.04100,0,
-0.4767,0.0050,1.04117,0,
-0.4767,0.0050,1.04133,0,
-0.6356,0.0050,1.04150,0,
-0.6356,0.0050,1.04167,0,
-0.6356,0.0050,1.04183,0,
-0.6356,0.0050,1.04200,0,
-0.4767,0.0050,1.04217,0,
-0.4767,0.0050,1.04233,0,
-0.4767,0.0050,1.04250,0,
-0.6356,0.0050,1.04267,0,
-0.4767,0.0050,1.04283,0,
-0.4767,0.0050,1.04300,0,
-0.4767,0.0050,1.04317,0,
-0.6356,0.0050,1.04333,0,
-0.4767,0.0050,1.04350,0,
-0.6356,0.0050,1.04367,0,
-0.6356,0.0050,1.04383,0,
-0.6356,0.0050,1.04400,0,
-0.6356,0.0050,1.04417,0,
-0.4767,0.0050,1.04433,0,
-0.6356,0.0050,1.04450,0,
-0.4767,0.0050,1.04467,0,
-0.6356,0.0050,1.04483,0,
-0.6356,0.0050,1.04500,0,
-0.6356,0.0050,1.04517,0,
-0.6356,0.0050,1.04533,0,
-0.6356,0.0050,1.04550,0,
-0.6356,0.0050,1.04567,0,
-0.6356,0.0050,1.04583,0,
-0.4767,0.0050,1.04600,0,
-0.4767,0.0050,1.04617,0,
-0.4767,0.0050,1.04633,0,
-0.4767,0.0050,1.04650,0,
-0.4767,0.0050,1.04667,0,
-0.6356,0.0050,1.04683,0,
-0.4767,0.0050,1.04700,0,
-0.4767,0.0050,1.04717,0,
